City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,72.95,72,0,18.77,clear sky
1,Ushuaia,AR,-54.8,-68.3,47.86,87,100,23.02,light rain
2,Provideniya,RU,64.3833,-173.3,-3.89,59,40,11.18,scattered clouds
3,Kodiak,US,57.79,-152.4072,33.31,69,40,3.44,scattered clouds
4,Norman Wells,CA,65.282,-126.8329,-11.16,70,100,4.61,light snow
5,Jamestown,US,42.097,-79.2353,31.01,93,100,8.05,overcast clouds
6,Carnarvon,AU,-24.8667,113.6333,83.07,50,0,17.87,clear sky
7,Taman,RU,45.2117,36.7161,31.87,75,100,31.43,overcast clouds
8,Yellowknife,CA,62.456,-114.3525,-3.48,77,75,11.5,light snow
9,Ilhabela,BR,-23.7781,-45.3581,75.52,88,32,3.51,scattered clouds
10,Shitanjing,CN,39.2342,106.3439,34.0,25,0,2.82,clear sky
11,Horsham,GB,51.064,-0.3272,38.25,90,75,1.14,fog
12,Zlocieniec,PL,53.5329,16.0113,28.89,91,27,3.65,scattered clouds
13,Guerrero Negro,MX,27.9769,-114.0611,62.83,34,57,15.73,broken clouds
14,Kirakira,SB,-10.4544,161.9205,83.48,79,100,11.81,overcast clouds
15,Seoul,KR,37.5683,126.9778,40.57,70,90,8.05,mist
16,Bluff,NZ,-46.6,168.3333,56.88,71,68,29.24,broken clouds
17,Port Elizabeth,ZA,-33.918,25.5701,72.32,93,20,17.27,few clouds
18,Bredasdorp,ZA,-34.5322,20.0403,67.3,96,76,3.02,broken clouds
19,Bilibino,RU,68.0546,166.4372,-33.47,100,99,1.59,overcast clouds
20,Bethel,US,41.3712,-73.414,35.55,66,0,6.91,clear sky
21,Porto Velho,BR,-8.7619,-63.9039,78.85,89,20,0.0,few clouds
22,Hobart,AU,-42.8794,147.3294,69.26,55,20,18.41,few clouds
23,Labuhan,ID,-6.8844,112.2051,81.52,78,100,8.3,light rain
24,Uglich,RU,57.5275,38.3317,-5.57,100,100,3.8,overcast clouds
25,Hilo,US,19.7297,-155.09,77.29,81,0,4.61,light rain
26,Mataura,NZ,-46.1927,168.8643,57.0,85,82,10.69,light rain
27,Marsa Matruh,EG,31.3525,27.2453,53.46,60,95,17.22,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,70.81,93,94,7.16,overcast clouds
29,Port Alfred,ZA,-33.5906,26.891,73.18,75,100,4.0,overcast clouds
30,Sa Kaeo,TH,13.75,102.3333,86.56,56,88,6.53,overcast clouds
31,Kapaa,US,22.0752,-159.319,80.58,83,40,13.8,scattered clouds
32,Cape Town,ZA,-33.9258,18.4232,69.91,92,100,8.99,mist
33,Taltal,CL,-25.4,-70.4833,70.83,80,9,2.62,clear sky
34,Qaanaaq,GL,77.484,-69.3632,-17.0,94,100,3.27,overcast clouds
35,Rikitea,PF,-23.1203,-134.9692,79.72,70,30,9.04,scattered clouds
36,Vilhena,BR,-12.7406,-60.1458,67.59,98,100,1.57,overcast clouds
37,New Norfolk,AU,-42.7826,147.0587,68.9,35,1,4.0,clear sky
38,La Ronge,CA,55.1001,-105.2842,5.25,85,40,0.0,scattered clouds
39,Altay,CN,47.8667,88.1167,12.69,87,77,4.41,broken clouds
40,Albany,US,42.6001,-73.9662,28.54,67,47,1.01,scattered clouds
41,Kahului,US,20.8947,-156.47,78.82,74,20,21.85,few clouds
42,Atuona,PF,-9.8,-139.0333,78.48,80,28,16.17,light rain
43,Ribeira Grande,PT,38.5167,-28.7,56.77,67,90,11.99,overcast clouds
44,Laguna,US,38.421,-121.4238,53.74,62,0,9.22,clear sky
45,Belen,TR,36.4891,36.2233,36.86,86,89,5.28,overcast clouds
46,Mirnyy,RU,62.5353,113.9611,-23.44,96,98,2.3,overcast clouds
47,Coquimbo,CL,-29.9533,-71.3436,64.13,88,100,3.44,overcast clouds
48,Punta Arenas,CL,-53.15,-70.9167,51.91,87,75,4.61,light rain
49,Tokonou,GN,9.65,-9.7833,72.16,32,78,5.91,broken clouds
50,Korla,CN,41.7597,86.1469,33.24,56,100,0.4,overcast clouds
51,Truckee,US,39.328,-120.1833,30.09,91,100,0.0,mist
52,Upernavik,GL,72.7868,-56.1549,-8.64,94,100,5.73,overcast clouds
53,Pevek,RU,69.7008,170.3133,-28.28,99,100,1.72,overcast clouds
54,Dikson,RU,73.5069,80.5464,-26.82,99,95,3.85,overcast clouds
55,Severnoye,RU,56.3491,78.3619,7.79,97,100,2.46,light snow
56,Yanam,IN,16.7333,82.2167,74.44,68,43,1.28,scattered clouds
57,Vaini,TO,-21.2,-175.2,82.56,83,75,4.61,light rain
58,Castro,BR,-24.7911,-50.0119,65.32,71,97,2.8,overcast clouds
59,Itoman,JP,26.1247,127.6694,71.98,80,40,12.66,scattered clouds
60,Kaitangata,NZ,-46.2817,169.8464,56.5,92,100,7.52,overcast clouds
61,Anito,PH,12.4497,125.2886,82.65,65,100,9.78,overcast clouds
62,Xining,CN,36.6167,101.7667,29.59,33,100,2.37,overcast clouds
63,Ballangen,NO,68.3428,16.8315,44.82,87,100,23.02,overcast clouds
64,Yarada,IN,17.65,83.2667,73.72,83,94,2.3,mist
65,Ahipara,NZ,-35.1667,173.1667,71.51,62,17,10.07,few clouds
