City,City,Country,Lat,Lng,Humidity,Hotel
33,Taltal,CL,-25.4,-70.4833,80,Hostería Taltal
37,New Norfolk,AU,-42.7826,147.0587,35,Woodbridge on the Derwent
91,Chuy,UY,-33.6971,-53.4616,81,Alerces
188,Vallenar,CL,-28.5708,-70.7581,67,Hotel del Marqués
192,Machali,CL,-34.1833,-70.6667,44,Hotel Boutique Il Giardino
264,Rocha,UY,-34.4833,-54.3333,97,Hotel Municipal
283,Vitoria Da Conquista,BR,-14.8661,-40.8394,82,Faixa Hotel
313,Vila Velha,BR,-20.3297,-40.2925,90,Hotel Prainha
395,Salta,AR,-24.7859,-65.4117,84,Ayres de Salta Hotel
524,Correntina,BR,-13.3433,-44.6367,77,Pousada Silva
547,La Palma,US,33.8464,-118.0467,70,La Quinta Inn & Suites by Wyndham Buena Park
689,Richards Bay,ZA,-28.783,32.0377,94,Protea Hotel
